N;3days;1day;1survey;noQs;CODICE;MON;WED;FRY;Started
1;1;1;1;;ATLG1958;6;3;3;MON
2;2;2;2;;PRIZZY88;6;5;4;MON
3;3;3;3;;Clmr1958;6;6;7;MON
4;4;4;4;;SBAT1949;4;4;4;MON
5;5;5;5;;PCIG1953;6;5;4;WED
6;;;;;DVMC1950;;;;
7;6;6;6;;EDLF1948;6;5;6;WED
8;7;7;7;;RSCC1961;3;7;7;FRY
9;8;8;8;;GBRP1944;4;5;6;FRY
10;9;9;9;;MREB1961;5;7;4;FRY
11;10;10;10;;FRSG1954;5;5;6;MON
12;11;11;11;;SLIC1963;6;5;5;MON
13;12;12;12;;NBTP1929;3;4;3;WED
14;13;13;13;;OOMR1963;5;5;4;WED
15;14;14;14;;MONB1958;6;6;6;FRY
16;15;15;15;;OQAB1946;5;4;5;FRY
17;16;16;16;;fcmldg1934;4;3;3;FRY
18;17;17;17;;PSRP1944;6;7;6;MON
19;18;18;18;;5101985;4;3;2;MON
20;19;19;19;;APRT54;5;5;4;MON
21;20;20;20;;ABLM1923;7;6;5;MON
22;21;21;21;;SPMM1952;6;4;6;MON
23;22;22;22;;AAPE1953;3;4;3;MON
24;23;23;23;;MFPW1957;4;6;4;WED
25;;;;;fris1964;;;;
26;24;24;24;;GPLB1954;4;3;5;MON
27;;25;25;;LDFLF1938;5;2;5;WED
28;25;26;26;;ETSF1950;5;4;6;WED
29;;27;27;;UCLP1929;2;3;5;WED
30;?;28;28;;Dbga1938;7;7;6;WED
31;?;29;29;;EPOU1932;3;4;5;WEN
32;;30;30;;MBMZ1942;6;1;5;WED
33;26;31;31;;Auca49;4;5;6;WED
34;27;32;32;;Gibaisge19;5;3;7;WED
35;28;33;33;;Edmf1950;4;3;3;WED
36;;34;34;;ETLC1964;0;6;7;WED
37;29;35;35;;LCPP1944;5;4;5;WED
38;;36;36;;adfcr1949;4;0;6;FRY
39;?;37;37;;FM1957;5;6;6;FRY
40;;38;38;;mag-48;0;0;3;FRY
41;30;39;39;;ANMA1938;5;7;5;FRY
42;;;;;ANIMA1938;0;0;0;
43;;;;;OMMZ1960;;;;
44;;40;40;;LFMDI1965;3;0;4;FRY
45;31;41;41;;Pqdf1962;5;4;6;FRY
46;32;42;42;;BDRB1955;6;4;4;FRY
47;33;43;43;;DSDDG1957;7;6;6;FRY
48;34;44;44;;EMMM1953;4;5;7;FRY
49;35;45;45;;aaaaaa89;5;5;5;FRY
50;;46;46;;GSDC1952;3;0;1;MON
51;?;47;47;;CLMB1961;5;4;6;MON
52;;;48;;Asst1945;1;0;0;MON
53;36;48;49;;MPRC1951;3;6;5;WED
54;;49;50;;acls1955;2;5;7;WED
55;37;50;51;;ASGS1955;4;7;4;FRY
56;38;51;52;;FPCP1954;3;5;6;FRY
57;39;52;53;;Gftg1945;3;3;4;FRY
58;40;53;54;;LVAM1967;4;3;4;FRY
59;41;54;55;;MTML1990;5;3;5;FRY
60;;;56;;GNCM1957;1;0;2;FRY
61;;;;;Morfeo1234;;;;
62;42;55;57;;PBLF1952;6;5;6;FRY
63;43;56;58;;GZCC1948;3;3;4;FRY
64;;57;59;;SOMC57;2;2;4;FRY
65;44;58;60;;Ccrb1960;4;6;4;WED
66;45;59;61;;Lrfd50;4;4;4;MON
67;46;60;62;;MMCP1956;4;5;5;FRY
68;47;61;63;;Gcsb1961;6;7;3;WED
69;;;64;;AGMC1959;2;2;3;MON
70;;;65;;MPET1962;2;0;0;MON
71;;62;66;;CSAM1951;0;4;0;MON
72;;63;67;1;Ammc1946;3;0;1;MON
73;;;;;MFAB1943;;;;
74;48;64;68;;CGT16;7;3;5;WED
75;49;65;69;;GSMC1944;4;4;4;FRY
76;50;67;70;;VTGF1966;6;5;4;WED
77;51;68;71;;GGNF1957;3;3;4;WED
78;52;69;72;;SLRB1966;4;6;3;WED
79;53;70;73;;GAMF1962;4;4;5;FRY
80;54;71;74;;PSIS1945;6;5;5;FRY
81;55;72;75;;anni1921;3;3;5;MON
82;;;76;;Frazac333;1;1;2;MON
83;;;77;;FPMGR1956;2;2;2;MON
84;56;73;78;;mtmf1950;3;3;4;MON
85;;74;79;;FZBR50;3;3;1;MON
86;;;;;LTRS1964;;;;MON
87;57;75;80;;AMMP1969;4;5;4;WED
88;58;76;81;1;APPS58;3;3;3;WED
89;59;77;82;;FZEF1930;4;4;5;WED
90;60;78;83;;GMGS1965;5;3;4;WED
91;;;84;1;FG1961;0;1;2;WED
92;;;85;;Gspt1958;0;2;2;WED
93;;79;86;;CSNR1962;2;2;4;MON
94;61;80;87;;LPTB1929;4;7;4;MON
95;62;81;88;;MGMR1951;5;3;6;MON
96;63;82;89;;FRCA1961;5;4;4;FRY
97;64;83;90;;PPVG1973;4;3;6;FRY
98;65;84;91;;Reve1933;3;5;6;FRY
99;66;85;92;;MGEB1960;5;3;3;MON
100;67;86;93;;PVCR1961;4;3;4;FRY
101;;87;94;;FDRR1959;4;2;0;MON
102;68;88;95;;SMMP1960;4;6;5;MON
103;;;;;CVLG1929;1;;;
104;69;89;96;;UCGZ1956;3;3;4;WED
105;70;90;97;;MANP1960;6;7;5;WED
106;;91;98;;BLMM1958;3;1;2;FRY
107;;92;99;;GMPM66;4;5;2;WED
108;;93;100;;ATEC1963;2;3;2;FRY
109;71;94;101;;AGRP1955;6;5;4;MON
110;72;95;102;;FFCR1933;4;4;4;MON
111;73;96;103;;FS960214;4;4;6;WED
112;74;97;104;;GASG1956;6;4;3;MON
113;75;98;105;;RMCS1952;5;4;6;MON
114;76;99;106;;AGPP1942;5;5;4;FRY
115;;100;107;;AAIC1947;0;1;5;WED
116;;101;108;;pdbr1957;3;2;3;FRY
117;;102;109;1;Pppb1948;2;2;3;FRY
118;77;103;110;;AALB1953;7;7;6;MON
119;78;104;111;;LCNSRD94;4;6;5;WED
120;79;105;112;;GCLL1966;5;4;4;WED
121;80;106;113;;mrlv19502;4;4;3;FRY
122;80;107;114;;BPRC1950;6;5;6;FRY
123;81;108;115;1;BAFC1922;6;7;6;MON
124;82;109;116;;FZRA1936;4;3;3;WED
125;;110;117;;RCMM1974;4;5;1;MON
126;83;111;118;;MAGV1960;3;5;4;WED
127;84;112;119;;Gdag1935;4;3;4;WED
128;;113;120;;LRSM1963;1;4;2;WED
129;85;114;121;;MDSM1967;5;6;4;FRY
130;86;115;122;;NMMD1961;5;3;3;WED
131;87;116;123;;TBVM1933;6;4;3;WED
132;;;124;;FDRV1959;0;1;2;WED
133;88;117;125;;gcrb1950;4;4;3;WED
134;;118;126;;FVGB42;4;2;3;FRY
135;;119;127;;ROPA1960;4;2;5;FRY
136;;;128;;SDGM1968;1;2;2;MON
137;89;120;129;;etel1964;5;4;4;MON
138;;121;130;;Mr1960;2;3;3;MON
139;90;122;131;;ANPF1955;3;4;6;WED
140;91;123;132;;ADMS1967;4;5;5;MON
141;92;124;133;;Mvgp1956;3;3;4;MON
142;;125;134;;ECRS1956;3;0;1;MON
143;93;126;135;;FPCM1947;4;5;3;MON
144;94;127;136;;PFCZ1960;3;3;3;MON
145;;128;137;;MCVD1959;2;3;2;WED
146;;;138;;GCAD1946;0;1;0;WED
147;;;139;;SMAR1955;0;1;0;FRY
148;95;129;140;;LFPT54;4;6;4;FRY
149;96;130;141;;GRMZ1961;3;6;4;WED
150;97;131;142;;ADMV1965;6;5;4;MON
151;98;132;143;;EBDM1965;4;3;4;MON
152;99;133;144;;LFAI1940;5;4;4;MON
153;100;134;145;;LFAI19402;4;5;4;MON
154;101;135;146;;MCVD19592;4;4;3;MON
155;102;136;147;;MVPG1956;7;7;5;MON
156;103;137;148;;Saog1966;5;4;3;MON
157;104;138;149;;CPAF1936;3;6;4;MON
158;;;150;;malo1944;1;1;2;FRY
159;105;139;151;;CMTC1957;7;7;7;FRY
160;106;140;152;;GTCS1960;4;4;4;MON
161;107;141;153;;RMAA1948;6;3;4;MON
162;;142;154;1;Gblb1956;1;3;0;MON
163;108;143;155;;Fcrd1955;5;6;3;WED
164;;144;156;;MRLV1950;5;4;1;FRY
165;;;;1;PDMR1956;4;3;3;FRY
166;;145;157;;MSRL1936;2;2;4;MON
167;;;158;;GARS1958;2;1;1;MON
168;;146;159;;FMCS1965;3;1;1;MON
169;;147;160;;PPGC1961;4;2;5;WED
170;;;;;Joe;0;0;0;MON
171;;148;161;1;PCAN1935;4;1;0;MON
172;;149;162;;AC78;1;0;3;MON
173;;150;163;;MPPA1962;2;3;0;MON
174;;151;164;;PSMP1951;2;3;5;MON
175;;;165;;CBLS1958;0;1;1;WED
176;;;166;;GMCP74;2;2;1;MON
177;;152;167;;PZSP1951;5;2;5;MON
178;109;153;168;;FMEI1964;4;5;4;FRY
179;;154;169;;CCMC1967;4;2;3;MON
180;;;170;1;LSMS1969;1;0;0;MON
181;110;155;171;;MAAS59;7;3;3;MON
182;111;156;172;1;PBLN1949;6;5;5;WED
183;;157;173;;rccp1962;0;0;4;FRY
