"ID","os","ProtocolId","within.day","ScriptName","day.of.week","RunTimestamp","SubmissionTimestamp","HOW","nPEOPLE","WHOM","d1.da.fare","d2.veloce","d3.multitask","d4.intensa","c1.cambiare","c2.come","c3.tempo","OCS","t1.rilassato.teso","e1.stanco.sveglio","v2.soddisfatto.insoddisfatto","t2.agitato.calmo","e2.pieno.privodenergia","v3.positivo.negativo","t3.nervoso.tranquillo","e3.affaticato.fresco","WHAT","v1.male.bene","PSi","event1.negativi","event2.intensity.n","event3.positivi","event4.intensity.p","Drugs"
"05101985","iOS","ProtocolWorkM",1,"Survey Lavoro",1,2018-12-03 10:22:29.818,2018-12-03 10:24:34.656,"Alcomputer","1","Colleghi","5","4","3","3","4","7","4","Interruzioni","6","1","3","7","4","3","6","2","ANALISIesame/elaborazionediinformazioniqualitativeoquantitativepermigliorarnelacomprensione","4",NA,NA,NA,NA,NA,NA
"05101985","iOS","ProtocolWorkM",2,"Survey Lavoro",1,2018-12-03 12:05:17.028,2018-12-03 12:07:35.109,"Facciaafaccia/oralmente","5","Colleghi,Superiori","5","2","4","3","1","1","3","Nessunadiquestecondizoni","2","3","4","6","5","4","5","2","NETWORKINGinterazioneconpersone/entiperraccogliere/scambiareinformazioniofarecontatti","5",NA,NA,NA,NA,NA,NA
"05101985","iOS","ProtocolWorkM",3,"Survey Lavoro",1,2018-12-03 13:27:32.487,2018-12-03 13:30:19.123,"Facciaafaccia/oralmente","5","Colleghi,Familiari/amici","5","3","2","2","1","2","2","Nessunadiquestecondizoni","2","5","4","6","4","6","6","4","PAUSA-->indicaancheL'ATTIVITÀSVOLTAPRIMAdellapausaeriferiscitiaquestaperleprossimedomande,NETWORKINGinterazioneconpersone/entiperraccogliere/scambiareinformazioniofarecontatti","6",NA,NA,NA,NA,NA,NA
"05101985","iOS","ProtocolWorkM",4,"Survey Lavoro",1,2018-12-03 18:00:27.004,2018-12-03 18:02:27.524,"Alcomputer","0","Nessuno","5","5","3","5","3","7","7","Nessunadiquestecondizoni","3","1","4","3","6","4","5","2","AUTHORINGcreazione/composizionedicontenutitestualiomultimediali,DIVULGAZIONEinsegnamento,presentazioneocondivisionediinformazioni","6",NA,NA,NA,NA,NA,NA
"05101985","iOS","ProtocolWorkM",1,"Survey Lavoro",3,2018-12-05 11:56:18.043,2018-12-05 11:58:28.310,"Facciaafaccia/oralmente,Alcomputer,Consmarphone/tablet","50","Colleghi,Superiori,Sottoposti","3","2","2","3","1","1","1","Nessunadiquestecondizoni","4","4","3","6","3","5","5","5","NETWORKINGinterazioneconpersone/entiperraccogliere/scambiareinformazioniofarecontatti,ATTIVITÀAMMINISTRSTIVEpraticheburocraticheroutinarie","5",NA,NA,NA,NA,NA,NA
"05101985","iOS","ProtocolWorkM",2,"Survey Lavoro",3,2018-12-05 16:34:15.809,2018-12-05 16:35:57.342,"Facciaafaccia/oralmente,Alcomputer","30","Colleghi,Superiori","1","1","2","2","1","1","1","Interruzioni,Regoleeprocedureorganizzative","3","2","4","4","6","3","7","2","NETWORKINGinterazioneconpersone/entiperraccogliere/scambiareinformazioniofarecontatti","5",NA,NA,NA,NA,NA,NA
"05101985","iOS","ProtocolWorkM",3,"Survey Lavoro",3,2018-12-05 17:59:33.932,2018-12-05 18:01:33.409,"Alcomputer,Facciaafaccia/oralmente","1","Colleghi","4","5","3","3","7","7","7","Interruzioni","4","2","4","6","5","5","6","3","ALTRO","5",NA,NA,NA,NA,NA,NA
"05101985","iOS","ProtocolWorkM",1,"Survey Lavoro",5,2018-12-07 13:26:58.441,2018-12-07 13:29:16.971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","7","3","6","4","5","7","4",NA,"6",NA,NA,NA,NA,NA,NA
"05101985","iOS","ProtocolWorkM",2,"Survey Lavoro",5,2018-12-07 15:04:27.467,2018-12-07 15:06:02.977,"Alcomputer","0","Nessuno","4","6","5","5","7","7","5","Interruzioni,Inadeguatoaiutodapartedialtrepersone,Regoleeprocedureorganizzative","6","3","5","5","6","4","3","3","RICERCAOACQUISIZIONEINFORMAZIONIconsultazionedifontielettroniche/cartacee,studiooapprendimentopersviluppareconoscenzepersonali,progetti,prodottioservizi,AUTHORINGcreazione/composizionedicontenutitestualiomultimediali","5",NA,NA,NA,NA,NA,NA
"aaaaaa89","iOS","ProtocolWorkM",1,"Survey Mattina",5,2019-01-18 10:15:05.563,2019-01-18 10:16:53.747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1","5","1","5","4","1","6",NA,"5","Nessunodiquestisintomi","2","1","3","2","No"
