#;Genere;Età (anni compiuti, inserisca il numero);Che tipo di lavoro svolge (lo descriva in poche parole. Se ne svolge più di uno li descriva tutti).;Inquadramento (se svolge più di un lavoro, si riferisca a quello a cui dedica più tempo);Settore;Grado di istruzione più elevato raggiunto:;Coniuge/convivente;Genitori;Figli;Altri;Da sola/o;Quante ore lavora in media per settima? (straordinari inclusi);Quanto spesso le capita di UTILIZZARE IL SUO SMARTPHONE durante l'orario lavorativo?;Quanto spesso le capita di UTILIZZARE IL SUO SMARTPHONE PER MOTIVI LAVORATIVI durante l'orario lavorativo?;Quanto spesso le capita di UTILIZZARE IL SUO SMARTPHONE PER MOTIVI PERSONALI durante l'orario lavorativo?;Quanto spesso le capita di UTILIZZARE IL SUO SMARTPHONE PER FARE CHIAMATE durante l'orario lavorativo?;Quanto spesso le capita di UTILIZZARE IL SUO SMARTPHONE PER NAVIGARE SUL BROWSER (es. Google Chrome) durante l'orario lavorativo?;Quanto spesso le capita di UTILIZZARE IL SUO SMARTPHONE PER USARE APPLICAZIONI (es. WhatsApp) durante l'orario lavorativo?;Il mio lavoro mi fa sentire ARRABBIATA/O.;Il mio lavoro mi fa sentire ANSIOSA/O.;Il mio lavoro mi fa sentire DISGUSTATA/O.;Il mio lavoro mi fa sentire SCORAGGIATA/O.;Il mio lavoro mi fa sentire PESSIMISTA.;Il mio lavoro mi fa sentire AFFATICATA/O.;Il mio lavoro mi fa sentire PIENA/O DI ENERGIA.;Il mio lavoro mi fa sentire ENTUSIASTA.;Il mio lavoro mi fa sentire ISPIRATA/O.;Il mio lavoro mi fa sentire A MIO AGIO.;Il mio lavoro mi fa sentire SODDISFATTA/O.;Il mio lavoro mi fa sentire RILASSATA/O.;Si sente sfinita/o alla fine di una giornata lavorativa?;La mattina, al pensiero di un'altra giornata lavorativa da affrontare, si sente già esausta/o?;Sente che ogni ora di lavoro è per lei stancante?;Ha abbastanza energie per la famiglia e gli amici durante il tempo libero?;Il suo lavoro è emotivamente spossante?;Si sente consumata/o e spenta/o a causa del suo lavoro?;Si sente frustrata/o a causa del suo lavoro?;Nessun sintomo;Mal di stomaco o nausea;Mal di schiena;Sonno disturbato;Eruzione cutanea;Respiro affannoso;Dolore al torace;Mal di testa;Febbre;Acidità o bruciore di stomaco;Affaticamento agli occhi;Diarrea;Crampi allo stomaco;Costipazione;Battito accelerato a riposo;Calo di appetito;Vertigini;Stanchezza o affaticamento;Nessun sintomo;Mal di stomaco o nausea;Mal di schiena;Sonno disturbato;Eruzione cutanea;Respiro affannoso;Dolore al torace;Mal di testa;Febbre;Acidità o bruciore di stomaco;Affaticamento agli occhi;Diarrea;Crampi allo stomaco;Costipazione;Battito accelerato a riposo;Calo di appetito;Vertigini;Stanchezza o affaticamento;Quante volte accade che il suo lavoro le richieda di LAVORARE MOLTO VELOCEMENTE?;Quante volte accade che il suo lavoro le richieda di LAVORARE DURAMENTE?;"Quante volte le capita che il suo lavoro le lasci POCO TEMPO A DISPOSIZIONE per finire le cose che deve fare?";Quante volte al lavoro ci sono TANTISSIME COSE DA FARE?;Quante volte le capita di avere PIÙ LAVORO DI QUANTO NE POTREBBE SVOLGERE BENE?;Quante volte trova difficile o impossibile svolgere il suo lavoro in modo ottimale a causa di...INTERRUZIONI DA PARTE DI ALTRE PERSONE?;Quante volte trova difficile o impossibile svolgere il suo lavoro in modo ottimale a causa di...INADEGUATO AIUTO DA PARTE DEGLI ALTRI?;Quante volte trova difficile o impossibile svolgere il suo lavoro in modo ottimale a causa di...REGOLE E PROCEDURE ORGANIZZATIVE?;Quante volte trova difficile o impossibile svolgere il suo lavoro in modo ottimale a causa...DEL SUO SUPERVISORE O DEL SUO CAPO?;Quante volte trova difficile o impossibile svolgere il suo lavoro in modo ottimale a causa di...APPARECCHIATURE O FORNITURE INADEGUATE?;Quante volte trova difficile o impossibile svolgere il suo lavoro in modo ottimale a causa di...FORMAZIONE PERSONALE INSUFFICIENTE?;Quante volte accade che il suo lavoro le permetta di PRENDERE MOLTE DECISIONI IN AUTONOMIA?;Quante volte le capita di AVERE VOCE IN CAPITOLO rispetto all'organizzazione del suo lavoro?;Quante volte le capita di avere POCA LIBERTÀ DI DECIDERE COME FARE il suo lavoro?;Quante volte le capita di POTER DECIDERE COSA FARE a lavoro?;Quante volte le capita di POTER PIANIFICARE IL TEMPO in cui svolgere il suo lavoro?;Mi sembra di essere di fretta e in corsa contro il tempo;Continuo a lavorare dopo che i miei colleghi hanno smesso;"E’ importante per me lavorare intensamente anche quando quello che faccio non mi piace";Mi tengo impegnato e ‘metto molta carne sul fuoco’;"Sento che c’è qualcosa dentro di me che mi spinge a lavorare intensamente";Dedico più tempo al lavoro che a socializzare con gli amici, ad hobby o ad altre attività del tempo libero;"Mi sento obbligato a lavorare intensamente, anche quando ciò non è piacevole";Mi ritrovo a fare due o tre cose contemporaneamente, come ad esempio consumare il pranzo, scrivere un promemoria e utilizzare il telefono;Mi sento colpevole quando mi prendo del tempo libero dal lavoro;E’ difficile per me rilassarmi quando non lavoro;Inserisca il suo CODICE PERSONALE;Che tipo di smartphone possiede?;"Grazie! Questa fase preliminare dello studio è terminata. Una COPIA PDF del consenso informato, delle istruzioni e del modulo per l'autorizzazione del datore di lavoro* è allegata alla mail con cui l'abbiamo contattata. *****************  IMPORTANTE **********************************************************************Per inviarci le sue risposte deve: (1) cliccare sul tasto ""Continua"" qui sotto,(2) cliccare sul tasto ""Invia"" di seguito. ******************************************************************************************************Grazie mille per la collaborazione!";Start Date (UTC);Submit Date (UTC);Network ID
a07sumsq210ii2avsda07sumij1xe1ko;Femmina;26;Gestione e sviluppo delle risorse umane;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;;Genitori;;;;38;4;1;4;1;3;4;3;3;2;3;2;3;4;3;3;3;4;3;4;3;3;3;3;2;2;;Mal di stomaco o nausea;;;Eruzione cutanea;;;Mal di testa;;;Affaticamento agli occhi;;;Costipazione;;;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;3;3;3;5;4;3;3;3;3;3;3;4;4;3;3;4;2;2;2;3;3;1;2;2;2;2;CCMC1967;Con sistema iOS (iPhone);Continua;2019-11-12 19:54:42;2019-11-12 20:08:35;64359a2b75
hd292ucbko0t4cdtqmt0tehd292uc86l;Maschio;53;impiegato pubblico;Dipendente - livello non dirigenziale;Pubblico;Laurea/Post-laurea;Coniuge/convivente;;;;;36;3;3;3;3;1;1;3;3;2;3;2;3;4;3;3;4;3;2;2;2;3;3;3;3;3;;;;Sonno disturbato;;;;;;;Affaticamento agli occhi;;;;;;;Stanchezza o affaticamento;;;;Sonno disturbato;;;;;;;;;;;;;;Stanchezza o affaticamento;3;2;4;3;3;2;3;3;3;3;3;3;3;3;3;3;3;2;2;3;2;2;3;2;1;1;FNCSRI1931;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-11-12 14:35:11;2019-11-12 14:53:16;d133c0f3aa
tkbm1y7y65hav5atkbrepkipv6yt3zkf;Maschio;33;Programmatore. Sviluppatore software.;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;Coniuge/convivente;;Figli;;;40;4;3;4;3;2;4;2;2;1;1;1;2;2;3;3;4;4;2;3;2;1;3;2;1;1;;;Mal di schiena;;;;;Mal di testa;;;Affaticamento agli occhi;;;;Battito accelerato a riposo;;;;;;Mal di schiena;;;;;;;;;;;;;;;;2;2;1;3;2;2;1;1;1;2;1;3;3;1;3;4;1;1;2;2;3;1;2;1;2;2;CGMI1956;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-11-07 09:02:41;2019-11-07 09:17:41;ed7f7690d8
hcqwycix80hcqwb2p2zk009mmm76lnpb;Maschio;35;tecnico;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;Coniuge/convivente;;;;;33;3;4;1;1;2;2;3;3;3;2;2;5;2;2;3;4;3;2;4;4;3;2;5;4;3;;;;;;;;;;;;;;;;;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;5;4;5;5;5;5;4;4;4;3;3;3;3;3;3;3;4;3;4;3;3;3;3;3;2;1;NAMP61;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-11-03 21:57:24;2019-11-03 22:23:42;3abd9f6862
3ym8zvt4ffwcbk95tu3ym8p6jiepak5x;Maschio;30;Assegnista di ricerca;Dipendente - livello non dirigenziale;Pubblico;Laurea/Post-laurea;;Genitori;;;;48;3;1;3;1;1;3;1;4;1;3;3;4;3;4;5;5;4;3;4;3;2;5;3;2;3;;Mal di stomaco o nausea;Mal di schiena;;;;;Mal di testa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;3;5;5;5;2;3;4;2;5;4;2;5;3;4;5;4;2;3;4;4;4;3;4;4;3;MAAS59;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-11-02 13:34:08;2019-11-02 13:46:51;f9d435dea7
ree9x56ad0ln2d1uzren26qdy0kzl9mv;Femmina;36;Responsabile comunicazione digitale/press;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;;;;;Da sola/o;32;4;3;4;2;5;4;3;5;1;3;2;5;2;2;2;3;3;1;4;2;3;4;5;3;4;;Mal di stomaco o nausea;Mal di schiena;Sonno disturbato;;Respiro affannoso;;Mal di testa;;;Affaticamento agli occhi;Diarrea;Crampi allo stomaco;;Battito accelerato a riposo;;Vertigini;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;3;2;3;4;4;4;3;2;3;2;2;3;4;2;4;2;3;3;2;2;2;2;1;2;3;2;VSLF1952;Con sistema iOS (iPhone);Continua;2019-10-31 10:06:43;2019-10-31 10:26:30;0b1f1311c8
ifbusvx4c9awdh5y9difbusvvs296hfe;Maschio;27;assegnista di ricerca: lavoro al computer, modelli matematici, scrittura articoli, didattica, supervisione studenti;A progetto/ co.co.co;Pubblico;Laurea/Post-laurea;;;;Altri;;45;5;5;5;2;1;5;1;4;2;5;5;5;3;4;4;5;4;1;4;4;3;3;3;4;3;;;Mal di schiena;Sonno disturbato;;;;;;;Affaticamento agli occhi;;;;;;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;5;5;4;5;4;3;3;1;3;2;2;5;5;2;5;5;4;2;2;4;4;4;2;3;3;2;rccp1962;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-10-24 13:15:04;2019-10-24 13:26:27;75112cb5f3
bkau6ailvzu8s8o4bkau6s8zrdlmgrrk;Maschio;31;Assegnista di ricerca;A progetto/ co.co.co;Pubblico;Laurea/Post-laurea;;;;;Da sola/o;60;4;3;4;3;4;4;4;4;1;3;3;4;4;4;4;5;3;2;3;1;1;3;4;2;4;;;;Sonno disturbato;Eruzione cutanea;;;;;Acidità o bruciore di stomaco;;;;;;Calo di appetito;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;1;4;4;5;3;3;3;3;4;3;3;4;4;2;4;4;3;3;2;4;4;4;2;3;3;3;FMEI1964;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);;2019-10-24 11:51:23;2019-10-24 12:04:23;da8ac797e2
yjtklw1k7zkew9pzyjtklwek90ldrpe9;Maschio;25;Pratica forense in uno studio legale;A progetto/ co.co.co;Privato;Laurea/Post-laurea;;;;;Da sola/o;40;5;1;4;1;1;5;3;3;2;3;3;4;4;3;4;3;3;2;2;2;2;4;4;3;3;;;;;;;;Mal di testa;;;;;;Costipazione;;;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;3;4;3;3;3;2;4;4;4;1;3;4;3;3;2;4;3;2;3;3;3;1;3;1;1;2;GMCP74;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);;2019-10-18 19:50:01;2019-10-18 19:59:34;e8171393f2
6g8magrlyvw0lj1pw06g8mutsylkhxf5;Maschio;28;Borsista di ricerca post PhD;A progetto/ co.co.co;Pubblico;Laurea/Post-laurea;;Genitori;;;;60;5;4;4;4;4;4;3;4;4;3;2;4;3;4;3;5;3;2;5;3;3;3;5;4;4;;;;Sonno disturbato;;;;;;;Affaticamento agli occhi;;;;;;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;5;4;5;5;5;5;4;5;4;5;4;4;4;4;3;3;4;4;3;2;2;4;4;4;3;4;PZSP1951;Con sistema iOS (iPhone);Continua;2019-10-14 05:19:55;2019-10-14 05:35:52;953e0c8de0
